Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2011,645,East Melbourne,Seats - Outdoor,28,144.9762558,-37.8089905
2015,741,Southbank,Seats - Indoor,100,144.9669591,-37.82712781
2016,655,East Melbourne,Seats - Indoor,53,144.9782795,-37.81796693
2012,257,Carlton,Seats - Indoor,20,144.9613352,-37.80242146
2009,368,North Melbourne,Seats - Outdoor,16,144.9514854,-37.80284239
2007,54,Melbourne (CBD),Seats - Outdoor,30,144.9614147,-37.81429206
2006,78,Melbourne (CBD),Seats - Indoor,27,144.9707419,-37.80918556
2006,83,Melbourne (CBD),Seats - Outdoor,100,144.9573704,-37.81209183
2002,61,Melbourne (CBD),Seats - Indoor,18,144.953528,-37.81538125
2011,212,Carlton,Seats - Indoor,40,144.9691265,-37.79315689
2005,58,Melbourne (CBD),Seats - Indoor,55,144.9711186,-37.81101511
2003,252,Carlton,Seats - Indoor,180,144.9668233,-37.80330641
2018,804,Southbank,Seats - Outdoor,20,144.9503336,-37.82409303
2021,219,Carlton,Seats - Indoor,100,144.969881,-37.79918387
2006,18,Melbourne (CBD),Seats - Indoor,20,144.9722493,-37.81514645
2004,23,Melbourne (CBD),Seats - Indoor,30,144.960828,-37.81804753
2024,420,West Melbourne (Residential),Seats - Outdoor,12,144.9485974,-37.80608976
2019,21,Melbourne (CBD),Seats - Indoor,40,144.9557275,-37.81902044
2018,1109,Docklands,Seats - Indoor,20,144.9390557,-37.81518961
2014,218,Carlton,Seats - Outdoor,60,144.9674735,-37.79932164
2012,58,Melbourne (CBD),Seats - Indoor,45,144.9724651,-37.81099169
2011,38,Melbourne (CBD),Seats - Outdoor,18,144.9727083,-37.81342593
2011,81,Melbourne (CBD),Seats - Indoor,50,144.9518789,-37.81337023
2016,41,Melbourne (CBD),Seats - Outdoor,8,144.9541099,-37.8172192
2016,271,Parkville,Seats - Outdoor,6,144.9606041,-37.79302025
2024,1108,Docklands,Seats - Indoor,6,144.9434599,-37.82044557
2018,246,Carlton,Seats - Indoor,35,144.966446,-37.80178513
2009,21,Melbourne (CBD),Seats - Indoor,75,144.9548831,-37.81970048
2023,6,Melbourne (CBD),Seats - Indoor,40,144.9689349,-37.8186592
2013,2391,North Melbourne,Seats - Indoor,50,144.9392333,-37.79531826
2024,77,Melbourne (CBD),Seats - Outdoor,100,144.9673696,-37.8105674
2018,612,East Melbourne,Seats - Indoor,12,144.9881385,-37.81042804
2017,1101,Docklands,Seats - Indoor,20,144.9523393,-37.81815358
2015,14,Melbourne (CBD),Seats - Indoor,42,144.9632258,-37.81784765
2020,741,Southbank,Seats - Indoor,100,144.9669591,-37.82712781
2022,240,Carlton,Seats - Outdoor,20,144.9588203,-37.80155731
2012,52,Melbourne (CBD),Seats - Indoor,80,144.9570682,-37.81518319
2004,114,Melbourne (CBD),Seats - Indoor,8,144.9583805,-37.80792292
2005,218,Carlton,Seats - Outdoor,20,144.9678124,-37.79900482
2019,773,Docklands,Seats - Indoor,35,144.9435506,-37.82438864
2002,87,Melbourne (CBD),Seats - Indoor,100,144.9688378,-37.80893302
2021,218,Carlton,Seats - Outdoor,30,144.9684438,-37.7989855
2010,660,Melbourne (Remainder),Seats - Indoor,70,144.9823853,-37.82487817
2017,262,Carlton,Seats - Outdoor,12,144.9599256,-37.80440558
2008,931,Parkville,Seats - Indoor,88,144.950172,-37.79381463
2023,252,Carlton,Seats - Outdoor,28,144.9668138,-37.803305
2013,753,Southbank,Seats - Outdoor,60,144.9662623,-37.82066922
2002,620,East Melbourne,Seats - Indoor,40,144.9833986,-37.80944
2020,1108,Docklands,Seats - Indoor,3,144.9458305,-37.821044
2012,242,Carlton,Seats - Indoor,40,144.962209,-37.80045792
2017,2390,North Melbourne,Seats - Indoor,17,144.9387115,-37.79407351
2004,93,Melbourne (CBD),Seats - Indoor,100,144.956698,-37.81146407
2022,11,Melbourne (CBD),Seats - Indoor,25,144.9566017,-37.81988484
2021,748,Southbank,Seats - Outdoor,62,144.9693922,-37.82956555
2005,31,Melbourne (CBD),Seats - Outdoor,8,144.9545783,-37.81861305
2017,931,Parkville,Seats - Outdoor,42,144.9514347,-37.7842847
2018,802,Southbank,Seats - Outdoor,28,144.962643,-37.82221927
2004,63,Melbourne (CBD),Seats - Indoor,80,144.9597637,-37.81355497
2017,559,Kensington,Seats - Indoor,30,144.9194456,-37.79170781
2002,741,Southbank,Seats - Outdoor,32,144.9669686,-37.82712911
2003,46,Melbourne (CBD),Seats - Outdoor,24,144.9675901,-37.81390913
2002,644,East Melbourne,Seats - Indoor,45,144.9746895,-37.80907181
2022,72,Melbourne (CBD),Seats - Indoor,26,144.9548222,-37.81349786
2019,54,Melbourne (CBD),Seats - Indoor,10,144.962548,-37.81354034
2015,1104,Docklands,Seats - Outdoor,4,144.9479753,-37.81925128
2017,644,East Melbourne,Seats - Indoor,140,144.9735223,-37.80899046
2016,67,Melbourne (CBD),Seats - Indoor,100,144.9676538,-37.81098407
2012,84,Melbourne (CBD),Seats - Outdoor,8,144.9612081,-37.81067436
2011,115,Melbourne (CBD),Seats - Outdoor,70,144.9616126,-37.80752292
2024,104,Melbourne (CBD),Seats - Indoor,32,144.9604244,-37.80897533
2012,1006,West Melbourne (Industrial),Seats - Indoor,150,144.9231564,-37.80663448
2017,559,Kensington,Seats - Indoor,14,144.9163635,-37.79387621
